Company,City,Industry,Email,Web,Source/Notes
Garage Films,Barcelona,production·ads,"oriol.uria@garagefilms.net, eva.aparicio@garagefilms.net",garagefilms.net,"20+ yrs ads/film/TV, also Madrid·CDMX·LA (src: El Publicista)"
CANADA,Barcelona,production·music·ads,info@canadacanada.com,lawebdecanada.com,"Music videos (Rosalía, Dua Lipa) + spots (Apple, LV) (src: El Publicista)"
Antaviana Films,Barcelona,post-production·VFX,info@antavianafilms.com,antavianafilms.com,"Film/TV post, VFX, color, DCP (src: El Publicista)"
Central Films,Madrid,production,raulgarcia@centralfilms.net,centralfilms.net,Production services + creative content (src: El Publicista)
Fight Films,Madrid,production·ads,recepcion@fightfilms.com,fightfilms.la,Advertising production (src: El Publicista)
Dear Wonder,Madrid,production·fiction,forever@dearwonder.com,wonderficcion.com,Creative production + fiction (src: El Publicista)
Primo Madrid,Madrid,production·ads,ramon@primomadrid.com,primomadrid.com,Commercial production house (src: El Publicista)
Bravo Tango Zulu,Madrid,production·ads,hello@bravotangozulu.com,bravotangozulu.com,Audiovisual production + comms (src: El Publicista)
Attic Films,Madrid,production,atticfilms@atticfilms.tv,atticfilms.tv,Film/video production (src: El Publicista)
La Joya Producciones,Madrid,production,lorena@lajoyaproducciones.com,lajoyaproducciones.com,Audiovisual + creative services (src: El Publicista)
Be Sweet Films,Madrid,production·ads,lucy@besweetfilms.com,besweetfilms.com,Commercial production (src: El Publicista)
Agosto,Barcelona+Madrid,production·ads,"miriam@agosto.tv (prod. coordinator), toni@agosto.tv (EP)",agosto.tv,"Director-founded film production, BCN+Madrid — 7 named emails on site"
Sunomono Films,Barcelona,production·branded content,produccion@sunomonofilms.com,sunomonofilms.com,"15 yrs, 1000+ brand videos"
Device,Barcelona,motion·animation,"victoria@devicers.com, work@devicers.com",devicers.com,Story-driven animation studio
Metrocurt,Barcelona,production,hola@metrocurt.com,metrocurt.com,"Audiovisual production, 20+ yrs"
EdelweisStudio,Barcelona,production·branded content,contacto@edelweisstudio.com,edelweisstudio.com,Videomarketing + storytelling
Igluuu,Barcelona,production·digital campaigns,produccio@igluuu.com,igluuu.com,Audiovisual stories for digital campaigns
Exodus Production,Barcelona,production,hola@exodusproduction.com,exodusproduction.com,Audiovisual production
Antiestático,Madrid+BCN,production·ads,bcn@antiestatico.com,antiestatico.com,"APCP member, intl offices"
El Apartamento,Barcelona,production·ads,"laura@elapartamento.tv, nacho@elapartamento.tv",elapartamento.tv,New-gen BCN productora (APCP)
Bambina Films,ES (verify city),production,info@bambinafilms.com,bambinafilms.com,APCP member
Blua Production House,Terrassa (Vallès!),production,hello@helloblua.com,helloblua.com,Parc Audiovisual resident — near Sant Cugat
Contrario,Madrid+BCN,production·ads,"cristina@contrario.xyz, edu@contrario.xyz",contrario.xyz,"Blur+Smile merger, intl production"
Finesse Films,ES (verify city),production,info@thefinessefilms.com,thefinessefilms.com,APCP member
FRIDA (by The Maestros),ES (verify city),production,administracion@fridaytm.tv,fridabytm.tv,APCP member
Good Company Productions,ES (verify city),production,"albert@goodcompany.pro, carolina@goodcompany.pro",goodcompany.pro,APCP member
Grayskull,ES (verify city),production·service,agata@grayskull.tv,grayskull.tv,APCP member
Harry,ES (verify city),production,info@harryrules.com,harryrules.com,APCP member
Hawai Films,Madrid,production·ads,ana@hawaifilms.es,hawaifilms.es,APCP member
Igloo Films,Madrid,production·service,"laura.guerrero@igloofilms.net, service@igloofilms.net",igloofilms.net,APCP member
La cosa de las películas,Madrid,production·ads,hola@la-cosa.com,la-cosa.com,"APCP, offices Belgrade+BA"
Landia,Madrid+BCN,production·ads,albertosaavedra@landia.com (many named emails on site),landia.com,Major intl productora (APCP)
Lee Films,Madrid,production·service,info@leefilms.com,leefilms.com,APCP member
Metropolitana,Barcelona,post-production,"info@metropolitana.net, production@metropolitana.net",metropolitana.net,Top BCN post house (APCP)
Mirinda Films,ES (verify city),production,monica@mirindafilms.com,mirindafilms.com,APCP member
Nevada,ES (verify city),production·service,info@nevada-service.com,nevada-service.com,APCP member
Only925,Madrid,production,info@only925.com,only925.com,APCP member
Oxígeno,Madrid+BCN,production·ads,"bcn@produccionesoxigeno.es, administracion@produccionesoxigeno.es",produccionesoxigeno.es,"APCP member, BCN office"
Palma Pictures,Mallorca,production·service,"cv@palmapictures.es (jobs!), belen@palmapictures.es",palmapictures.es,Big intl service house — publishes CV email
Solanes Films,Barcelona,production,hello@solanesfilms.com,solanesfilms.com,APCP member
Solworks,ES (verify city),production·service,info@solworks.eu,solworks.eu,APCP member
Somos5,Madrid,production,info@somos5.com,somos5.com,APCP member
Sur-Film,ES (verify city),production·service,info@sur-film.com,sur-film.com,APCP member
The Production Club,Barcelona,production,"club@theproduction.club, anna@theproduction.club",theproduction.club,APCP member
Vivi Film,ES (verify city),production·service,service@vivi-film.com,vivi-film.com,APCP member
We Work Factory,ES (verify city),production,hola@weworkfactory.com,weworkfactory.com,APCP member
Zissou,Madrid,production,"marta@zissou.tv, enrique@zissou.tv",zissou.tv,APCP member
Hey Studio,Barcelona,design-studio,hey@heystudio.es,heystudio.es,Graphic/branding/illustration
Vasava,Barcelona,design-studio,"jobs@vasava.es, internships@vasava.es",vasava.es,Branding+type+motion — publishes JOBS + INTERNSHIPS emails
Clase bcn,Barcelona,design-studio,info@clasebcn.com,clasebcn.com,Established graphic design studio
